"","total_products","total_transactions","total_revenue","total_usage","total_accounts","churned","Business_Code","Location_Type","Year_Started","Public_Private_Indicator","Owns_Rents_Code","Square_Footage","Subsidiary_Indicator","Manufacturing_Indicator","Legal_Status_Code","Currency_Code","Status_Code","Population_Code","Hierarchy_Code","Revenue__US_Dollars_","Number_of_Family_Members","Employees_Here","Employee_Count_Total","Domestic_Ultimate_Employee_Count","Domestic_Ultimate_Revenue","Global_Ultimate_Indicator","Major_Industry_Category_Name","YearCreated","PropMissing","TP"
"148",1,18,14539.77,11202,1,"No","USA","Single.Location",1991,"N","X0",0,"X0","X1","X3","X20","X0","X9","X0",3337818,0,2,2,2,3337818,"N","Finance..Insurance..Real.Estate",1999,0.2,18
"149",1,40,733.95,28381,1,"No","USA","HQ",1992,"N","X1",500000,"X3","X0","X3","X20","X1","X7","X2",433602596,1477,100,2700,400,1.3599e+10,"N","Manufacturing",1999,0.166666666666667,40
"152",1,57,5525.33,28186,1,"No","USA","HQ",1997,"N","X0",5000,"X0","X1","X3","X20","X1","X8","X1",9660787,6,20,2500,20,9660787,"Y","Services",1999,0.1,57
"153",1,38,10196.05,644657,50,"No","USA","Branch",NA,"N","X0",45828,"X0","X0","X0","missing","X2","X8","X1",NA,1211,79,0,1000,7.189e+10,"N","Manufacturing",1999,0.2,38
"154",2,22,424.71,17625,1,"No","USA","HQ",1988,"N","X2",1700000,"X3","X1","X3","X20","X1","X9","X3",3386317003,708,3121,4683,3500,3349873846,"N","Finance..Insurance..Real.Estate",1999,0.1,11
"156",1,1,79.18,185,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",1999,1.33333333333333,1
"159",2,10,-2084.12,14314,1,"Yes","USA","Single.Location",2016,"N","X0",0,"X0","X1","X3","X20","X0","X9","X0",102408,0,8,8,8,102408,"N","Public.Administration",1999,0.3,5
"160",6,632,3745681.36,109128108,44,"No","USA","Branch",NA,"N","X0",10584,"X0","X1","X0","missing","X2","X9","X2",NA,114,31,0,500,5143800000,"N","Finance..Insurance..Real.Estate",1999,0.2,105.333333333333
"162",2,25,3947.86,267,1,"No","USA","HQ",2011,"N","X1",24271,"X3","X0","X3","X20","X1","X6","X3",579872180,276,2533,3022,559,7.357e+09,"N","Manufacturing",1999,0.1,12.5
"163",1,3,16.05,1,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",1999,1.33333333333333,3
"164",4,289,132641.44,2429909,1,"Yes","USA","HQ",2001,"N","X0",37000,"X0","X1","X3","X20","X1","X8","X1",112327438,21,15,284,15,112327438,"Y","Services",1999,0.0666666666666667,72.25
"166",1,25,123.06,3266,1,"Yes","USA","Single.Location",2013,"N","X0",4679,"X0","X1","X3","X20","X0","X9","X0",2881682,0,10,10,10,2881682,"N","Finance..Insurance..Real.Estate",1999,0.266666666666667,25
"169",3,243,180025.94,1471879,44,"No","USA","Branch",NA,"N","X0",19698,"X0","X1","X0","missing","X2","X9","X2",NA,231,100,0,112,426051000,"N","Finance..Insurance..Real.Estate",1999,0.3,81
"170",4,223,60259.05,165105,44,"No","USA","HQ",1986,"N","X0",100000,"X0","X0","X3","X20","X1","X9","X1",34592205,2,180,180,180,34592205,"Y","Manufacturing",1999,0.0666666666666667,55.75
"171",1,83,2839.19,12235,1,"No","USA","HQ",2008,"N","X1",35000,"X3","X0","X3","X20","X1","X9","X2",3.1e+07,4,45,135,7,3.1e+07,"N","Manufacturing",1999,0.1,83
"173",3,120,19519.23,697551,1,"No","USA","HQ",2002,"N","X2",200000,"X3","X0","X3","X20","X1","X9","X3",554185940,248,1750,1900,15,4443100000,"N","Manufacturing",1999,0.1,40
"175",1,24,17018.9,313983,1,"No","USA","Single.Location",2015,"N","X0",0,"X0","X1","X0","X20","X0","X9","X0",94459,0,7,7,7,94459,"N","Public.Administration",1999,0.266666666666667,24
"176",2,442,545590.61,2798266,1,"No","USA","Branch",NA,"N","X0",0,"X0","X1","X0","missing","X2","X9","X0",NA,0,600,0,600,0,"N","Public.Administration",1999,0.3,221
"177",2,6,0.06,42,44,"No","USA","Single.Location",2010,"N","X0",0,"X0","X1","X0","missing","X0","X7","X0",NA,0,NA,0,0,0,"N","Public.Administration",1999,0.366666666666667,3
"178",2,27,4541.41,303090,88,"No","USA","Single.Location",NA,"N","X0",0,"X0","X1","X0","X20","X0","X9","X0",330000,0,3,3,3,330000,"N","Wholesale.Trade",1999,0.3,13.5
"179",1,6,0,747,1,"No","USA","Single.Location",2016,"N","X0",2799,"X0","X1","X0","X20","X0","X7","X0",42638,0,2,2,2,42638,"N","Services",1999,0.266666666666667,6
"180",1,15,377.82,1693,1,"No","USA","Single.Location",2009,"N","X0",6297,"X3","X1","X0","X20","X0","X9","X2",2015085,46,28,28,9,975596000,"N","Mining",1999,0.2,15
"183",2,20,74.21,4653,1,"No","USA","Branch",NA,"N","X0",0,"X0","X1","X0","missing","X2","X9","X2",NA,1208,10,0,200,11406900000,"N","Wholesale.Trade",1999,0.3,10
"184",1,64,3559.18,8422,1,"No","USA","Single.Location",1994,"N","X2",4399,"X0","X1","X12","X20","X0","X9","X0",1664226,0,20,20,20,1664226,"N","Finance..Insurance..Real.Estate",1999,0.133333333333333,64
"185",1,90,28100.02,170671,1,"No","USA","Branch",NA,"N","X0",0,"X0","X1","X0","missing","X2","X9","X1",NA,540,8,0,30,1.5887e+10,"N","Public.Administration",1999,0.366666666666667,90
"186",4,345,141930.95,918858,1,"No","USA","HQ",1986,"N","X2",9095,"X0","X1","X3","X20","X1","X9","X1",56386265,3,210,241,210,56386265,"Y","Services",1999,0.1,86.25
"189",6,353,639170.69,5730318,78,"No","USA","Branch",NA,"N","X0",47294,"X0","X1","X0","missing","X2","X9","X2",NA,787,377,0,5,7.043e+09,"N","Services",1999,0.2,58.8333333333333
